総額(万),家賃(万),管理費(円),物件名,間取り,面積,階,築年,構造,最寄り駅,徒歩(分),桜木町(分),路線,区,犯罪率(‰),所在地,敷/礼,バストイレ別,オートロック,エアコン,洗濯機置場,洗面台,モニタホン,宅配BOX,都市ガス,システムキッチン,IH,ガスコンロ可,物件ページ
4.2,3.7,5000,相模鉄道本線 西横浜駅 7階建 築46年,1R,17.78㎡,3,46,鉄筋コンクリート,戸部,13,10,京急本線,西区,14.14,神奈川県横浜市西区浜松町,敷 なし / 礼 なし,,,○,,,,,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/_00000443960046ec8d438f15ce92670fed75415c7f05/
4.2,3.7,5000,相模鉄道本線 鶴ケ峰駅 7階建 築29年,1R,16.2㎡,7,29,鉄筋コンクリート,鶴ケ峰,7,22,相鉄本線,旭区,4.61,神奈川県横浜市旭区鶴ケ峰本町2,敷 なし / 礼 なし,,,○,,,,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/_000008566271dee6768d41e0dfb5a81234abc6b93afe/
4.2,3.7,5000,パレドール鶴ヶ峰,1R,16.2㎡,7,39,鉄筋コンクリート,鶴ケ峰,7,22,相鉄本線,旭区,4.61,神奈川県横浜市旭区鶴ケ峰本町2,敷 なし / 礼 なし,,,○,,,,,○,,○,,https://realestate.yahoo.co.jp/rent/detail/000001228837dee6768d41e0dfb5a81234abc6b93afe/
4.2,3.8,4000,トップ妙蓮寺第二,1R,16.75㎡,3,39,鉄筋コンクリート,子安,19,13,京急本線,神奈川区,4.71,神奈川県横浜市神奈川区大口仲町,敷 なし / 礼 なし,,,○,,○,,,○,○,○,,https://realestate.yahoo.co.jp/rent/detail/00000087904111470c35809f123e017e35364e309d5e/
4.2,3.9,3000,パレドール鶴ヶ峰,1R,16.2㎡,3,39,鉄筋コンクリート,鶴ケ峰,7,22,相鉄本線,旭区,4.61,神奈川県横浜市旭区鶴ケ峰本町2,敷 なし / 礼 3.9万円,,,○,,,,○,○,,,,https://realestate.yahoo.co.jp/rent/detail/0000012288370ec851a64382d29e42b3c2ad2dd2fc0b/
4.2,3.9,3000,横浜ヒルストンハウス,1R,20.45㎡,3,33,軽量鉄骨,鶴ケ峰,113,22,相鉄本線,旭区,4.61,神奈川県横浜市旭区川井本町,敷 なし / 礼 なし,,,○,○,,○,,,,○,,https://realestate.yahoo.co.jp/rent/detail/0000032761293c89adc627e81be4ea549f29a0c6b4df/
4.2,4.0,2000,コーポ東川島B棟,1R,20㎡,3,42,鉄骨,西谷,10,21,相鉄本線,保土ケ谷区,3.99,神奈川県横浜市保土ヶ谷区東川島町,敷 なし / 礼 4万円,○,,○,○,,,,,,,○,https://realestate.yahoo.co.jp/rent/detail/0000011525910f069987a33a2a75c568670187677260/
4.2,4.0,2000,コスモAoi能見台,1R,17.62㎡,3,37,鉄骨,能見台,6,29,京急本線,金沢区,5.5,神奈川県横浜市金沢区能見台通,敷 1ヶ月 / 礼 なし,,,○,○,,,,○,,,,https://realestate.yahoo.co.jp/rent/detail/000001887991bfd1b53369d75f5f246feea0a1255680/
4.2,4.2,0,清水ビル,1R,23.43㎡,4,39,鉄骨,戸部,17,10,京急本線,西区,14.14,神奈川県横浜市西区藤棚町2,敷 4.2万円 / 礼 4.2万円,,,○,○,,,,,,,,https://realestate.yahoo.co.jp/rent/detail/0000021382628d825a0a16f639debd1a4859060458c1/
4.3,3.8,5000,ヨコハマベイストロベリーインターナショナル,1R,16㎡,3,38,鉄筋コンクリート,東白楽,11,11,東急東横線,神奈川区,4.71,神奈川県横浜市神奈川区中丸,敷 3.8万円 / 礼 3.8万円,,,○,○,,,,,○,○,,https://realestate.yahoo.co.jp/rent/detail/00000458004708c88b35ad0327a1860af10016c51692/
